S-NER, S-SCALAR, S-TAG, V-CAT, V-TAG, O-NER, O-SCALAR, O-TAG, LABEL
'PERSON','0','NNP','Other','VBD','CRIMINAL_CHARGE','0','NN',
'O','0','PRP','Other','VBD','O','0','VBG',
'O','0','PRP','containment','VBZ','O','0','NN',
'O','0','PRP','Other','IN','O','0','NN',
'O','0','PRP','Other','RB','O','0','PRP',
'O','0','PRP','Other','NN','PERSON','0','NNP',
'O','0','POS','Other','VB','O','0','DT',
'O','0','PRP','Other','JJ','O','0','PRP',
'O','0','PRP','containment','VBZ','O','0','NNS',
'O','0','PRP','containment','null','O','0','NN',
'O','0','NNS','IS-A','VBP','O','0','NNS',
'O','0','NNS','IS-A','VBP','O','0','VBN',
'O','0','PRP','Other','VBZ','O','0','VBG',
'O','0','DT','containment','null','O','0','NN',
'O','0','PRP','Other','IN','O','0','NNS',
'O','0','PRP','Other','VBD','O','0','NNS',
'O','0','PRP','Other','VB','O','0','PRP',
'O','0','NNS','Other','VBP','O','0','JJ',
'O','0','PRP','Other','VBD','O','0','NN',
'O','0','NN','Other','VBD','O','0','JJ',
'O','0','PRP','Other','IN','O','0','NN',
'O','0','DT','IS-A','VBZ','O','0','NN',
'O','0','PRP','Other','VBZ','O','0','JJ',
'O','0','PRP','Other','VBD','O','0','NN',
'O','0','DT','Other','IN','DATE','0','NN',
'O','0','PRP','Other','VB','O','0','DT',
'O','0','PRP','possession','VBD','O','0','NNS',
'O','0','PRP','Other','VB','O','0','PRP',
'O','0','PRP','Other','VBP','O','0','NNS',
'O','0','PRP','Other','NN','O','0','DT',
'O','0','PRP','Other','VBG','O','0','NN',
'O','0','PRP','Other','VBD','O','0','VB',
'O','0','PRP','Other','VBP','O','0','NN',
'RELIGION','0','NNP','containment','VBZ','O','0','NNS',
'O','0','PRP','Other','VBP','O','0','PRP',
'O','0','DT','IS-A','VBZ','O','0','RB',
'PERSON','0','NNP','IS-A','VBZ','O','0','JJ',
'PERSON','0','NNP','Other','VBZ','O','0','VB',
'O','0','NN','Other','VBD','O','0','VBN',
'O','0','PRP','containment','null','O','0','JJ',
'O','0','PRP','Other','VBZ','NATIONALITY','0','NNP',
'O','0','PRP','consist','VBD','O','0','NN',
'O','0','PRP','IS-A','VBP','DATE','0','RB',
'O','0','NNS','Other','VBP','O','0','NN',
'O','0','PRP','Other','VB','O','0','PRP',
'O','0','PRP','Other','VBP','O','0','RB',
'O','0','NN','containment','null','O','0','PRP',
'O','0','PRP','Other','RB','O','0','PRP',
'O','0','NNS','Other','IN','O','0','NN',
'O','0','NNS','possession','VBD','O','0','NNS',
'O','0','PRP','Other','VBP','O','0','JJ',
'PERSON','0','NNP','Other','VBD','O','0','NNS',
'O','0','PRP','Other','VBG','NATIONALITY','0','NNP',
'O','0','PRP','Other','RB','O','0','PRP',
'O','0','PRP','Other','VB','NUMBER','0','CD',
'O','0','NN','Other','VBZ','O','0','JJ',
'O','0','NN','Other','VBZ','O','0','VBN',
'O','0','PRP','Other','TO','O','0','NN',
'PERSON','0','NNP','Other','VBD','O','0','NNS',
'PERSON','0','NNP','Other','VBZ','O','0','NNS',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','PRP','Other','VBP','O','0','JJ',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','PRP','Other','RB','O','0','NN',
'O','0','PRP','IS-A','VBZ','O','0','RB',
'O','0','PRP','Other','VB','O','0','JJ',
'O','0','DT','Other','MD','O','0','JJ',
'O','0','NNS','Other','VBD','PERSON','0','NNP',
'O','0','PRP','Other','IN','O','0','PRP',
'O','0','PRP','Other','null','SET','0','NN',
'O','0','PRP','Other','VB','O','0','PRP',
'PERSON','0','NNP','Other','VBD','PERSON','0','NNP',
'O','0','PRP','possession','VBP','O','0','NNS',
'PERSON','0','NNP','Other','RB','PERSON','0','NNP',
'O','0','NN','IS-A','VBD','O','0','JJ',
'O','0','PRP','Other','VBP','O','0','JJ',
'O','0','PRP','containment','null','O','0','NN',
'O','0','NNS','IS-A','VBP','O','0','JJ',
'O','0','DT','Other','DT','O','0','VBD',
'O','0','PRP','IS-A','VBD','DATE','0','RB',
'O','0','PRP','Other','IN','O','0','NN',
'O','0','NNS','Other','VBP','O','0','NNS',
'O','0','PRP','Other','VBP','O','0','NNS',
'PERSON','0','NNP','Other','IN','DATE','0','CD',
'O','0','PRP','Other','IN','STATE_OR_PROVINCE','0','NNP',
'O','0','PRP','Other','VBP','O','0','JJ',
'O','0','PRP','Other','VBP','NUMBER','0','CD',
'O','0','PRP','Other','VBG','MISC','0','NNP',
'O','0','PRP','Other','MD','O','0','VBN',
'O','0','PRP','IS-A','VBP','O','0','NNS',
'PERSON','0','NNP','Other','VBD','O','0','NNS',
'PERSON','0','NNP','Other','VBD','O','0','NN',
'O','0','NNP','IS-A','VBZ','O','0','NN',
'O','0','PRP','IS-A','VBZ','O','0','RB',
'O','0','PRP','Other','VBD','PERSON','0','NNP',
'PERSON','0','NNP','Other','VBD','O','0','NN',
'O','0','NN','IS-A','VBZ','O','0','JJ',
'O','0','PRP','IS-A','VBD','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NNS',
'O','0','NN','IS-A','VBZ','O','0','JJ',
'O','0','NN','IS-A','VBD','O','0','JJ',
'O','0','PRP','Other','IN','O','0','NN',
'O','0','NNS','IS-A','VBP','O','0','NNS',
'O','0','PRP','Other','VBP','O','0','NNS',
'O','0','PRP','Other','VB','O','0','PRP',
'PERSON','0','NNP','Other','VBZ','O','0','NN',
'O','0','PRP','Other','VBG','O','0','JJS',
'O','0','NNS','Other','VBP','O','0','NN',
'PERSON','0','NNP','containment','null','O','0','NN',
'O','0','DT','IS-A','VBZ','O','0','JJ',
'O','0','PRP','Other','IN','O','0','NNP',
'O','0','NNP','Other','IN','O','0','NN',
'O','0','PRP','Other','IN','O','0','PRP',
'O','0','PRP','Other','IN','DATE','0','NNP',
'O','0','NN','IS-A','VBZ','O','0','NN',
'PERSON','0','VBG','Other','VBZ','O','0','JJ',
